date,text,NumberLikes,NumberComments,NumberViews
2021-07-28,"There’s a million ways to make chicken and if you’re not sure where to start, we’ve got you covered with this list of Indonesian Chicken recipes!
.
For the full recipe, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/3rBFjwS,",319,2,0
2021-07-27,"We've always known that some of our best recipes come from our community. And at our first AFN Food Awards on July 24, you blew us away with some amazing cooking from your home kitchens! Look out for Dennis' comforting Pork Pata Stew, Idamae's easy pull-away Pizza Taco Bake, and Natania's genius Kimchi Chicken Inasal.
.
Grab the full recipes at the link in bio.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/3x7wxI2,",203,2,0
2021-07-27,"Who would have thought chili and cheese would go so well? Well, our talented community group member, Debbie Irene Kiat did! Take a bite out of her fiery Chili Cheesesticks Dynamite and you’ll see why these are such a family-favourite finger food in the Philippines.
.
For the full recipe, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/3ryx7x9,",512,21,0
2021-07-26,"From traditional cuisines to exciting fusion dishes, here’s a list of must-try Thai seafood sensations that’ll transport you to the bustling streets of Thailand, all from the comfort of your own kitchen.
.
For the full recipe, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/3x4nvvs,",388,0,0
2021-07-26,"Tantalise your taste buds with a generous plate of Shrimp Pad Thai. Trust us, when all you have to do is to toss all the ingredients into a wok and stir-fry it, this may just be your next go-to Thai dish!
.
For the full recipe, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/3eLHgS9,",388,5,0
2021-07-25,"A sweet and juicy crab slathered in a thick red gravy riddled with ribbons of egg whites? No wonder this Singapore Chili Crab is a feast for the eyes and mouth!
.
For the full recipe, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/2VeJdzK,",272,2,0
2021-07-25,"Old is gold? Well, these Old School Donuts certainly agree with that. These pastries offer a fantastic way to appease your sweet tooth and stave off the hunger, compared to their fluffier counterparts.
.
For the full recipe, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/2WjhPRB,",169,0,0
2021-07-24,"This Prawn Noodle Soup recipe from Malaysia and Singapore will please your taste buds like never before. With an umami taste from broiling prawn shells, pork ribs and root vegetables, this simple dish will never disappoint!
.
For the full recipe, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/36VgxhO,",375,9,0
2021-07-23,"Salty, chewy, and crunchy, these well-known Japanese octopus balls are the perfect savoury snack. Fall in love with these Takoyakis and the burst of flavours they offer with every bite.
.
For the full recipe, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/3rtN7AA,",406,4,0
2021-07-23,"Filled with prawns, clams, and vegetables that’s braised in a thick soup, this White Seafood Lor Mee is a favourite in hawker stalls! 
.
For the full recipe, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/2WaURMq,",291,0,0
2021-07-22,"From rolls to salads, here are 10 easy Vietnamese sides that you can whip up for feel good days!
.
For the full recipe, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/2Tr87LM,",305,0,0
2021-07-21,"Find out what your favourite K-Pop idols fuel up on between their intense schedules and flawless performances with this list of dishes they absolutely love.
.
For the full recipe, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/2UYpkg0,",351,0,0
2021-07-21,"Turn your leftover rice into something nice with this Nurungji recipe! This crispy snack of Korean Scorched Rice is great with sprinkled sugar, brown sugar dip, or even on its own.
.
For the full recipe, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/3kAH4ce,",237,7,0
2021-07-20,"Nothing brings more comfort than indulging in a tender and juicy chicken! Here are 10 finger-licking Indonesian Ayam recipes for you to try that’ll hit the spot for your spicy and sweet taste buds.
.
For the full recipe, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/3Bmuu67,",497,7,0
2021-07-20,"Braised in thick flavourful caramel sauce, this KL Hokkien Mee is best enjoyed when it’s hot and served at night with great company. Best part is, you get to choose between chicken or pork to go with the shrimp.
.
For the full recipe, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/3wU2vrj,",381,6,0
2021-07-19,"The long wait is over! Join us to find out who will be the first-ever GRAND WINNER of the #AFNFoodAwards!

The winners of our PRE-EVENT ONLINE ACTIVITY and SPECIAL AWARDS will be announced during the show. Also, exciting games and awesome prizes await our FB live viewers, so, mark your calendars now and tune in with us on July 24, 2021 at 4pm on our Facebook!
.
Click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/3issVLc,",84,1,0
2021-07-19,"Let your guests experience the joy of making their Spring Rolls with @ilisulaiman  DIY Spring Roll Starter Board! Thanks to the gorgeous array of fillings and sauces, this charcuterie board is fun to prepare and equally fun to eat.
.
For the full recipe, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/3evA10q,",276,0,0
2021-07-18,"You’ll need to break out your wok for this Penang Char Kway Teow recipe, but with how deliciously spicy this smokey noodle dish gets, it’s worth it.
.
For the full recipe, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/3xMsge6,",343,0,0
2021-07-18,"Head over to any street in Malaysia, and you'll have no trouble finding a Ramly Burger. Whip up this burger from the comforts of your own home, and you'll see why it's such a popular Malaysian street food.
.
For the full recipe, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/3hKQlMZ,",199,1,0
2021-07-17,"With so many savoury options, choosing your go-to Lok-Lok skewer can be a little challenging. Fortunately, your horoscope can help with that. Find out which ingredient suits you best by clicking the link in our bio!
.
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/3wH6CGM,",376,8,0
2021-07-17,"Ann Lian’s Almond Pudding with Snow Fungus and Goji Berries takes a dessert soup and turns it into a pudding. This treat is not only refreshing for a hot day, but it’s also incredibly healthy, thanks to the herbs and ingredients included. The absolute best of both worlds.
.
For the full recipe, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/3in0kHc,",221,2,0
2021-07-16,"Treat yourself to an easy-to-make Creamy Avocado Ice Cream. Simply blend and freeze the mixture of a whole avocado, a dash of lime juice along with some sweetened coconut cream, or Nước cốt dừa, and you’re done.
.
For the full recipe, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/2ThwhII,",417,4,0
2021-07-16,"Make your very own Khao Niaow Moo Ping, better known as Thai Pork Skewer with Sticky Rice, from home! With each piece of succulent marinated pork grilled to perfection, the dish speaks for itself by being a popular street food in Thailand.
.
For the full recipe, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/36QWiln,",283,8,0
2021-07-15,"The Gulai Belacan or Shrimp Paste Curry with Prawns from Riau, is a type of curry consisting of prawns and spices which brings along a taste of South East Asia. Have your hand at the dish that will not disappoint your taste buds as it packs a punch with each bite.
.
For the full recipe, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/3AZpDrz,",537,7,0
2021-07-15,"Janti Brasali’s Eggplant Pizza recipe is the guilt-free way to enjoy a savoury low-carb dish. Top it off with a generous amount of mozzarella to create your own signature cheese pull.
.
For the full recipe, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/3xJT0Ml,",150,0,0
2021-07-14,"Want more Asian food-related content? Itching to be part of something more? We welcome you with arms wide open to our Asian Food Network Super Community group! Click the link in our bio to be part of our community, take part in contests, and enjoy even more food-related content. 

#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram 

https://bit.ly/3kccLbD,",147,0,0
2021-07-14,"Asian chefs or mothers rarely use any form of measuring tools in their cooking. And if you’re new to this style of cooking, this list will cover how to guesstimate your way to using herbs, sugar, and spices!
.
For the full listicle, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/3wFC5Jo,",145,7,0
2021-07-13,"Hot or cold, this Ginataang Bilo-Bilo makes for the perfect dessert for any time of the day. Whip up this famous Filipino treat of Sticky Rice Balls in Coconut Milk, and bask in its refreshing taste.

For the full recipe, click the link in our bio!

#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram 

https://bit.ly/36tEr3E,",289,11,0
2021-07-13,"Steamed Cod with Soy Sauce is a dish that originated from China and is enjoyed by many races in Southeast Asia. Steaming the fresh cod brings out its full flavour while balancing its taste with the fragrance of the ginger and scallions.
.
For the full recipe, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/3r4bPaJ,",481,1,0
2021-07-12,"Ensaymada is one of Filipino’s favourite bread, but with how buttery and pillowy this Filipino Brioche Bread is, we won’t be surprised if it becomes one of yours too!

For the full recipe, click the link in our bio!

#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram 

https://bit.ly/3jZLbyc,",281,2,0
2021-07-12,"There’s no better way to beat the heat than with a cool and refreshing ice cream! Chill out with these ten ice cream recipes that’s guaranteed to sweeten up your day.
.
For the full recipe, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/3kh7mjF,",462,4,0
2021-07-11,"Fluffy yet creamy at the same time, the Puto Flan brings together two beloved Filipino desserts together, Puto and Leche Flan, to create something completely magical.

For the full recipe, click the link in our bio!

#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram 

https://bit.ly/3yBUDMa,",336,0,0
2021-07-11,"Sarah Huang Benjamin giving a classic Chinese dish a plant-based makeover with her Braised Dong Po Wintermelon. Thanks to the wintermelon soaking up the flavours of the sauce, meat-eaters and vegetarians are bound to love this dish!

For the full recipe, click the link in our bio!

#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram 

https://bit.ly/3jXoj26,",252,2,0
2021-07-10,"This July, go bananas and hit us with your best recipe featuring fruits! Share an image of your dish, the recipe, and a short write-up on why you love it in our group at https://bit.ly/3hTiBvx , and you stand to pick up some fresh AFN merchandise, plus a chance to be featured on our website.

We’re rooting for you!,",104,0,0
2021-07-10,"Bakwan Sayur is a popular Indonesian snack that’s sold by street vendors across the country - and for good reason! These deep-fried golden vegetable fritters are a finger licking delight.
.
For the full recipe, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/36ntwZ5,",413,12,0
2021-07-09,"American-influenced and popularised by Koreans, this Sosis Kentang Keju has it all. A cheesy yet crispy exterior? Checked. A savoury sausage center? Checked. Deep-fried to perfection? Checked! Serve up this dish to really impress the guests.
.
For the full recipe, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/3jRc6vV,",159,0,0
2021-07-09,"Can Indomie get any more delicious? This Tahu Walik Indomie recipe proves it can! Stuff the delicious noodles along with leeks and carrots into an inverted tofu skin to enjoy this simply delectable dish.
.
For the full recipe, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
. 
https://bit.ly/2SUcvCG,",338,8,0
2021-07-08,"Give your wonton soup a Filipino twist, and you’ll have an equally delicious Molo Soup. Protip: make yourself a bowl of chicken soup filled with plump pork wontons on a cold day for maximum comfort.
.
For the full recipe, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/3hgWOz1,",467,4,0
2021-07-08,"On a low carb diet? You’ll happily roll with it thanks to this Crab Stick Salad Roll with Spicy Mayonnaise recipe! Easy to make and incredibly refreshing, these crunchy rolls are great as an appetizer or a quick lunch.
.
For the full recipe, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/3hE13n4,",296,0,0
2021-07-07,"Slathered with a handful of herbs and a generous coat of spicy sambal, this savoury Sambal Stingray makes for an exciting side to spice up your meals or to have on its own.
.
For the full recipe, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/3yodbzl,",330,2,0
2021-07-07,"Congratulations to the TOP 10 Semi-finalists who made the cut and will advance to the next round! Foodies, LIKE & SHARE your favorite entries until July 9, 2021.

The entry garners the highest number of LIKES and SHARES will win a special award and be announced during the AFN Food Awards Live show on July 24, 2021 at 4pm via Facebook Live. #AFNFoodAwards. Stay tuned!
.
For more info, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/3qSNm7S,",135,0,0
2021-07-06,"Rice Cakes with Caramelized Coconut is a sweet dessert from Thailand that was commonly served during special prayers. It’s filling but you’re gonna be wanting more than one after trying it.
.
For the full recipe, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/3jJ8RXc,",467,7,0
2021-07-06,"Gaga for boba? Take it up a notch with these Coconut Tapioca Pearls! Whip up a batch in no time and add it in your milk tea, fruit juices, or have it on its own.
.
For the full recipe, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/2TuYonU,",250,1,0
2021-07-05,"Here’s Ann Lian’s hearty recipe for amazing Fish ball Soup Noodles. The springy texture of the fish balls together with silky and slippery glass noodles in a warm savoury broth make for a wonderful home-cooked experience.
.
For the full recipe, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/3yi4cQk,",429,1,0
2021-07-05,"Special shout out to Rizky Maulana for their awesome Tamago Tofu with Tom Yum Shrimp recipe! A plethora of flavours will tickle your taste buds as you feast on this egg-citing dish.
.
For the full recipe, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/3ytGkJH,",166,0,0
2021-07-04,"Korean Cold Noodle soup is a dish best enjoyed on a hot sunny day!  Chewy buckwheat noodles in chilled beef broth, then topped with beef brisket slices, pickled veggies, and an egg. Hungry yet?
.
For the full recipe, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/3qE0NZu,",251,0,0
2021-07-04,"What do you get when you mix young coconut water, melon, lime, and basil seeds? A healthy and refreshing drink from Bali called Es Kuwut. It’s fresh and cooling taste makes it perfect for a hot day!
.
For the full recipe, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/3h9chRB,",407,4,0
2021-07-03,"Sayur Besan is a very traditional dish well known among Indonesians and especially the Betawi people. Symbolic, steeped in culture, and packed with the familiar flavours of home! 
.
For the full recipe, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/3jDhRxk,",409,4,0
2021-07-03,"Equal parts tasty and tempe-ting, Keripik Tempe is a savoury yet healthy snack enjoyed by people across Indonesia. Try it the next time you’re looking to prepare a low-calorie snack! 
.
For the full recipe, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/365FdDE,",373,7,0
2021-07-02,"What happens when you take 2 great ingredients, then wrap them in some wheaty goodness? Curry Beef Cheesy Tacos! Savoury with a hint of sweetness, this keto-friendly snack is a definite must-try!
.
For the full recipe, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/3AuBLkb,",238,0,0
2021-07-02,"These almost-too-adorable-to-eat Gula Melaka & Bandung Cupcakes are great as a light snack, and perfect as a bonding activity to make with your kids.
.
For the full recipe, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/3jArkWb,",241,4,0
2021-07-01,"Beat the heat with this well-known Filipino dessert, Saba Con Yelo. This dish of sweetened banana served with crushed ice and evaporated milk is easy to make and even easier to enjoy!
.
For the full recipe, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/366DhLk,",420,7,0
2021-07-01,"This Tod Mun Goong or Prawn Cake with Plum Sauce is nothing less than a match made in heaven! Thanks to the plum sauce lending its tartness to balance out the savoury snacks, this dish will give chicken nuggets a run for their money.
.
For the full recipe, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/3w45v3D,",350,1,0
2021-06-30,"This Instant Noodle Lasagna proves that a great-tasting fusion dish doesn’t have to be complicated. Give it a try, and we’re certain that this cheesy, tomatoey combination will be your new favourite way of having instant noodles.
.
For the full recipe, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/3y7pBM2,",224,2,0
2021-06-30,"You'll be pleasantly surprised how easy it is to make this charred-to-perfection Air Fryer Korean Red Pepper Salmon, especially when you taste how each ingredient complements each other wonderfully.
.
For the full recipe, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/3x897TQ,",233,0,0
2021-06-29,"The secret to an incredible Lok Lok lies in the sauce - which is why we’ve got just the thing to help you turn your favourite bite-sized food skewers from great to magical.
.
For the full recipe, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/3qxJKrW,",134,0,0
2021-06-29,"Crumbly on the outside and sweet on the inside, this Putu Piring makes for a delicate yet tasteful treat. No wonder this traditional kueh is such a popular treat in Malaysia, Singapore, and Thailand.
.
For the full recipe, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/3x5OSGi,",539,7,0
2021-06-28,"Planning to whip up something for the most important meal of the day? We got you covered. From a healthy vegetable soup to a flavourful burst of protein, check out the link in our bio for 10 breakfast recipes that’ll help jump-start your day on the right foot.
.
For the full recipe, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/3qvOMoI,",650,7,0
2021-06-27,"This Seaweed Tortilla is the very definition of “Good things come in small packages”! Fall in love with this perfectly wrapped meal that combines all the nutrients you need into one satisfyingly flavourful dish.
.
For the full recipe, click the link in our bio.
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/3x3XpJK,",293,3,0
2021-06-27,"There’s no better way to start the day with a warm cup of malty chocolate drink! Or is there? Break out your Milo tins and embrace the wave of chocolatey goodness with these six other Milo recipes.
For the full recipe, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/3h7C77k,",524,4,0
2021-06-26,"The secret to a great Nasi Lemak lies in the sambal sauce, and our talented community member has got it figured out! Fall in love with S Saraswathy Segaran’s perfectly balanced Nasi Lemak Sambal Ikan Bilis.
For the full recipe, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/2T8GDdA,",240,0,0
2021-06-26,"Looking for a way to treat yourself? This Oreo Chocolate Pie can help with that! Trust us, this no-bake dessert is guaranteed to satisfy your sweet tooth.

For the full recipe, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/3xThNgM,",231,0,0
2021-06-25,"@shirleymooi’s Pulut Kuning is a feast for the eyes and your taste buds. We assure you, this Turmeric Glutinous Rice with Spicy Anchovies and Spicy Chicken Floss recipe from our talented community member will liven up your dining table.
For the full recipe, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/2Ut3zEM,",677,7,0
